lake	season	year	status	surroundings	la	da	vol	da:vol	da:la	dp	slope	perimeter	dmean	dmax	nf	aa	rainfall	temp	secchi	zmix	kd	zeu	ph	chl-a	tss	nt	pt	doc	cdom	a254	a440	sr	suva	s275	s350	bv
AGU	rainy 12	2012	unprotected	S	1,62	20,59	5,14	4,01	12,71	2,38	11,9	10,8	3,172839506	9,14	36,14	54,29	155,8	29,8	1,5	4,06	1,13	4,06	7,44	6,76	2,8	350,3	13,33	6,57	18,33188	22,99929	0,737	1,187574423	3,500120733	0,022295246	0,018773767	0,0044917
AGU	rainy 12	2012	unprotected	S	1,62	20,59	5,14	4,01	12,71	2,38	11,9	10,8	3,172839506	9,14	36,14	54,29	46,2	29,23	1,17	5,00	1,27	3,62	7,2	7,88	7,6	493,9	6,66	6,35	18,16299333	22,81505	0,7677	1,212624746	3,591225143	0,022592373	0,018630968	0,0022915
AGU	dry 12	2012	unprotected	S	1,62	20,59	5,14	4,01	12,71	2,38	11,9	10,8	3,172839506	9,14	36,14	54,29	3,2	23,47	1,8	4,50	1,07	4,32	7,5	10,42	4,8	423	35,36	6,94	14,93879333	19,00743	0,6909	1,39826	2,7384277	0,024308813	0,017385045	9,50E-05
AGU	dry 12	2012	unprotected	S	1,62	20,59	5,14	4,01	12,71	2,38	11,9	10,8	3,172839506	9,14	36,14	54,29	0,6	23,2	0,9	4,50	1,16	4,15	7,6	7,6	1,2	447,2	45,29	7,11	16,56624667	20,80377	0,951906667	1,328413203	2,9255754	0,021509585	0,016191938	0,0025585
AGU	rainy 13	2013	unprotected	S	1,62	20,59	5,14	4,01	12,71	2,38	11,9	10,8	3,172839506	9,14	36,14	54,29	0	29,44	1,53	4,5	1,3	3,51	7,63	4,79	4,38	499,1	15,74	10,49	15,59131	19,85186	NA	1,578425371	1,892455672	0,023977724	0,015190914	0,00075557
AGU	rainy 13	2013	unprotected	S	1,62	20,59	5,14	4,01	12,71	2,38	11,9	10,8	3,172839506	9,14	36,14	54,29	0	29,12	1,2	4,5	1,29	3,55	7,22	3,1	4,48	507,7	41,38	8,72	15,23050667	19,48338	NA	1,41711933	2,233308116	0,024522567	0,017304518	0,00075557
ANB	rainy 12	2012	protected	AF	3	16,65	NA	NA	5,55	4,42	10	27,35	NA	10	80,48	NA	395,5	30,15	3,1	6,72	0,78	5,93	7,86	5,07	0,8	361,9	19,48	6,92	13,14245333	16,55089	0,783	1,48837871	2,393130904	0,023222648	0,015602648	0,0035311
ANB	rainy 12	2012	protected	AF	3	16,65	NA	NA	5,55	4,42	10	27,35	NA	10	80,48	NA	24,8	30,74	3,1	6,31	0,62	7,37	7,57	4,22	1,2	340,3	8,24	6,11	12,22125333	15,55293	0,476	1,34935051	2,546320672	0,025097977	0,018600042	0,0043608
ANB	dry 12 	2012	protected	AF	3	16,65	NA	NA	5,55	4,42	10	27,35	NA	10	80,48	NA	4	24,43	3,23	9,00	0,75	6,12	7,01	7,32	2,4	439,9	33,6	6,03	9,012406667	11,63783	-0,0461	1,188190903	1,929987839	0,0292465	0,024614311	0,0010767
ANB	dry 12 	2012	protected	AF	3	16,65	NA	NA	5,55	4,42	10	27,35	NA	10	80,48	NA	3,2	24,94	2,85	9,00	0,71	6,48	6,95	4,51	0,8	535,9	30,27	6,53	10,62450667	13,5877	0,4606	1,631280339	2,080174525	0,027088598	0,016605729	0,00071566
BEN	rainy 12	2012	unprotected	P	0,08	0,48	0,27	1,78	6,00	1,72	5,65	1,74	3,375	7,87	1,36	83,01	46,2	28,13	2,4	4,25	2,88	1,6	6,66	4,51	9,6	72,9	18,42	1,66	8,782106667	9,56513	0,5067	0,966643388	5,751729806	0,01707099	0,01766007	0,0055159
BEN	rainy 12	2012	unprotected	P	0,08	0,48	0,27	1,78	6,00	1,72	5,65	1,74	3,375	7,87	1,36	83,01	30,8	29,32	2,9	4,13	1,39	3,31	7,03	1,41	9,6	89,5	4,45	2,24	5,742146667	6,909	0,3224	1,206528824	3,082998661	0,019133862	0,015858603	0,0074845
BEN	dry 12	2012	unprotected	P	0,08	0,48	0,27	1,78	6,00	1,72	5,65	1,74	3,375	7,87	1,36	83,01	0,8	22,63	2,7	7,00	0,99	4,64	6,95	4,79	0,8	316,1	21,84	2,11	5,5272	6,54052	0,476	1,350770492	3,107135392	0,018013829	0,013335965	0,0020316
BEN	dry 12	2012	unprotected	P	0,08	0,48	0,27	1,78	6,00	1,72	5,65	1,74	3,375	7,87	1,36	83,01	0,4	22,69	2,4	7,00	1,02	4,55	7,24	3,1	2,8	318,5	21,76	2,22	6,187393333	7,17001	0,4913	1,34358384	3,223923861	0,018129975	0,013493743	0,0014538
BEN	rainy 13	2013	unprotected	P	0,08	0,48	0,27	1,78	6,00	1,72	5,65	1,74	3,375	7,87	1,36	83,01	0	28,02	2,12	5,5878	1,02	4,49	6,89	2,53	1,56	111,7	89,18	2,14	7,46172	9,07382	NA	1,240302263	4,238122373	0,018014032	0,014523905	0,0039192
BEN	rainy 13	2013	unprotected	P	0,08	0,48	0,27	1,78	6,00	1,72	5,65	1,74	3,375	7,87	1,36	83,01	0	28,08	2,12	5,728	1,04	4,43	6,89	1,69	1,12	84,28	21,24	1,57	7,477073333	9,07382	NA	1,184051268	5,772150127	0,017871457	0,015093483	0,0038473
CAR	rainy 12	2012	protected	AF	0,135	0,73	0,67	1,09	5,41	1,30	9,8	1,7	4,962962963	11,8	79,79	0	35,8	29,14	1,8	3,75	1,09	4,23	7,07	4,51	5	269,6	14,65	5,13	15,93676	19,79045	0,7523	1,170675787	3,859291472	0,020844064	0,017805155	0,0053623
CAR	rainy 12	2012	protected	AF	0,135	0,73	0,67	1,09	5,41	1,30	9,8	1,7	4,962962963	11,8	79,79	0	36,4	30,02	2,6	3,75	1,06	4,35	6,88	3,94	5	246,1	5,6	5,73	15,84464	19,79045	0,6602	1,133515249	3,456846579	0,021046004	0,018567024	0,007357
CAR	dry 12	2012	protected	AF	0,135	0,73	0,67	1,09	5,41	1,30	9,8	1,7	4,962962963	11,8	79,79	0	0,8	22,76	1,3	10,00	0,99	4,84	7,05	10,98	5	640,7	12,65	4,83	11,2847	14,30931	0,5067	1,326097385	2,965044896	0,023100227	0,017419706	0,00092893
CAR	dry 12	2012	protected	AF	0,135	0,73	0,67	1,09	5,41	1,30	9,8	1,7	4,962962963	11,8	79,79	0	0,6	22,42	1,3	10,00	1,02	4,52	6,88	10,98	5	513,1	16,52	4,82	15,46080667	19,26843	0,8905	1,126146533	4,001751471	0,018135429	0,016103969	0,0031208
CAR	rainy 13	2013	protected	AF	0,135	0,73	0,67	1,09	5,41	1,30	9,8	1,7	4,962962963	11,8	79,79	0	0	33,67	2,5	2,8581	0,85	5,4	6,81	2,25	5,04	308,4	11,62	5,43	7,523133333	9,10453	0,783	1,141363215	1,677944465	0,017751122	0,015552561	0,021089
CAR	rainy 13	2013	protected	AF	0,135	0,73	0,67	1,09	5,41	1,30	9,8	1,7	4,962962963	11,8	79,79	0	0	29,29	2,48	5,88	0,84	5,45	6,64	3,94	2,6	294,7	24,16	4,38	7,569193333	9,13523	0,4145	1,094272981	2,088053333	0,017611998	0,016094702	0,0090563
DH	rainy 12	2012	protected	AF	5,18	18,57	59,4	0,31	3,58	4,56	9,52	37,03	11,46718147	39,2	69,4	0,13	259,2	29,66	2,5	5,21	0,34	13,72	7,45	1,13	1,2	0	66,49	4,94	5,419726667	6,63264	0,4606	1,620633361	1,34345554	0,021013643	0,012966315	0,0047242
DH	rainy 12	2012	protected	AF	5,18	18,57	59,4	0,31	3,58	4,56	9,52	37,03	11,46718147	39,2	69,4	0,13	36,4	29,75	3,1	6,24	0,47	9,8	7,2	1,69	1,2	359,6	6,71	5,19	5,20478	6,52517	0,1996	1,332278745	1,257015347	0,02481627	0,018626935	0,0037751
DH	dry 12	2012	protected	AF	5,18	18,57	59,4	0,31	3,58	4,56	9,52	37,03	11,46718147	39,2	69,4	0,13	0,8	23,76	2,37	27,00	0,87	5,31	7,2	5,91	1,8	407,8	6,71	4,28	5,926386667	7,23142	0,3685	1,496120765	1,688400654	0,023970949	0,016022068	-0,00052551
DH	dry 12	2012	protected	AF	5,18	18,57	59,4	0,31	3,58	4,56	9,52	37,03	11,46718147	39,2	69,4	0,13	0,8	23,76	2,5	27,00	1,13	4,08	7,08	6,48	1,8	412	7,77	4,92	6,141333333	7,56919	0,522	1,610035022	1,539079572	0,021512618	0,013361584	0,003459
DH	rainy 13	2013	protected	AF	5,18	18,57	59,4	0,31	3,58	4,56	9,52	37,03	11,46718147	39,2	69,4	0,13	0	29,94	3,9	7,7094	0,56	8,21	7,41	2,53	0,2	261,2	20,32	4,02	9,979666667	12,91215	0,5834	1,371845394	3,20878562	0,025941817	0,018910161	0,004234
DH	rainy 13	2013	protected	AF	5,18	18,57	59,4	0,31	3,58	4,56	9,52	37,03	11,46718147	39,2	69,4	0,13	0	29,94	3,32	8,8342	0,55	8,36	7,85	1,13	2,2	262,9	14,07	3,2	8,7514	11,43823	0,4145	1,306562189	3,57110001	0,027492927	0,021042188	0,0054651
GAM	rainy 12	2012	protected	AF	0,1	0,35	0,51	0,69	3,50	1,28	8,83	1,45	5,1	10,3	82,49	0	243,4	28,91	3,7	5,56	0,61	7,54	6,65	1,69	2,4	196,8	1,71	2,97	5,20478	6,52517	0,1996	1,332278745	2,194070836	0,02481627	0,018626935	0,002833
